answer_count,question_count,avg_score
0,29937,0.5066639943882153
1,72616,0.6001845323344718
2,32833,1.1578290134925229
3,11123,2.169288860918817
4,3701,4.701972439881113
5,1214,9.054365733113674
6,536,15.546641791044776
7,285,25.656140350877195
8,157,34.955414012738856
9,95,41.56842105263158
10,67,64.23880597014926
11,43,50.116279069767444
12,35,62.885714285714286
13,14,118.14285714285714
14,25,90.76
15,18,110.33333333333333
16,17,172.94117647058823
17,10,90.9
18,6,56.333333333333336
19,2,2.5
20,3,84.0
21,4,108.0
22,4,74.25
24,3,89.0
25,1,1227.0
27,3,130.0
28,3,395.0
32,1,341.0
33,1,682.0
34,1,226.0
