token,count
ora-06512,5276
ora-06550,3584
ora-00904,2212
ora-00933,1275
ora-00942,1268
ora-00907,1022
ora-01722,974
ora-00932,738
ora-06502,734
ora-00936,714
ora-12154,606
ora-01427,495
ora-00979,485
ora-01843,465
ora-01017,463
ora-04088,457
ora-00905,445
ora-00911,444
ora-00923,428
ora-01031,425
ora-00001,419
ora-00900,398
ora-04091,336
ora-01861,334
ora-01403,327
ora-01858,294
ora-12514,293
ora-01400,271
ora-00604,270
ora-00937,269
ora-02291,263
ora-00918,260
ora-00922,257
ora-01008,257
ora-01036,250
ora-12505,236
ora-01422,234
ora-00600,227
ora-00984,206
ora-00920,198
ora-01034,197
ora-01830,192
ora-00903,178
ora-02270,177
ora-00955,176
ora-12560,175
ora-01000,169
ora-00947,166
ora-00917,165
ora-01461,158
ora-20000,152
ora-12899,146
ora-12541,144
ora-00902,144
ora-01438,140
ora-00913,138
ora-04098,137
ora-03113,136
ora-20001,134
ora-00972,131
ora-06553,131
ora-00928,130
ora-01747,128
ora-02063,124
ora-24344,119
ora-29283,118
ora-12170,115
ora-02289,115
ora-29273,114
ora-01841,113
ora-01489,112
ora-12545,111
ora-00060,109
ora-30926,107
ora-00054,105
ora-01704,103
ora-29535,100
ora-01002,94
ora-01652,91
ora-00934,85
ora-01847,85
ora-22905,83
ora-01821,83
ora-01460,82
ora-19202,81
ora-06508,80
ora-02292,80
ora-01779,79
ora-27101,79
ora-00906,78
ora-08177,78
ora-01756,77
ora-31011,76
ora-29913,76
ora-12537,76
ora-01735,73
ora-28040,73
ora-12519,72
ora-01013,72
ora-39083,71
