token,count
from,259791
select,192875
table,177855
have,148099
not,142453
where,122845
but,112498
sql,101869
query,100084
null,97918
into,97557
when,96968
can,91531
how,87006
error,85949
using,83413
data,79766
number,78511
end,78001
insert,75202
values,74179
then,74134
create,72913
like,72356
name,70765
column,64795
varchar2,62399
get,61139
all,58555
are,58172
database,57734
value,57125
date,54898
which,53069
there,52400
want,51781
type,50804
any,50115
code,48393
string,48068
what,47812
one,47655
new,46662
need,45722
join,44066
use,43284
set,41894
procedure,39351
return,39244
update,37755
following,37747
would,37446
has,35705
function,34379
trying,34378
will,34135
same,33929
some,33837
only,33602
begin,31953
order,31625
row,31479
rows,31432
result,31191
key,31172
count,30958
tables,30669
file,30272
here,30140
below,29938
user,29586
statement,29557
case,29480
way,29392
group,28969
tried,28489
should,28130
time,27206
line,27124
each,26850
help,26786
two,26090
connection,25640
you,25608
out,25473
loop,25446
columns,25106
dual,24492
does,24442
know,23964
was,23693
replace,23601
to_date,23514
run,23478
output,22668
problem,22570
first,22533
server,22503
other,22492
example,21825
getting,21388
else,21108
records,20976
after,20756
exception,20409
public,20183
pl/sql,20067
100,20056
also,20033
just,19893
find,19785
please,19708
between,19475
execute,19336
could,19280
now,18997
connect,18967
more,18741
...,18648
sum,18623
thanks,18468
try,18416
index,17883
trigger,17741
to_char,17688
work,17462
different,17328
view,17141
add,16985
version,16883
primary,16757
stored,16729
application,16660
than,16580
list,16261
something,16183
don,16057
class,16009
constraint,15968
test,15942
object,15856
another,15805
record,15592
union,15586
while,15279
max,15257
used,15232
see,15153
multiple,15121
sysdate,15107
working,14963
varchar,14937
created,14927
works,14716
true,14377
these,14272
java,14268
why,14240
int,14179
make,14104
because,14006
left,13908
call,13657
dbms_output.put_line,13632
found,13627
without,13550
field,13513
status,13505
default,13434
results,13412
command,13381
however,13337
access,13298
invalid,13111
table.,13084
cursor,13000
check,12933
import,12908
script,12800
possible,12760
returns,12688
above,12652
about,12476
having,12472
source,12444
declare,12384
running,12325
inner,12301
based,12166
question,12114
char,11972
write,11863
change,11862
issue,11793
password,11705
distinct,11632
able,11620
before,11568
cannot,11525
both,11397
